countryname,lobname,year_new,_NAME_,dev3,dev6,dev9,dev12,dev15,dev18,dev21,dev24,dev27,dev30,dev33,dev36,dev39,dev42,dev45,dev48,dev51,dev54,dev57,dev60,dev63,dev66,dev69,dev72,dev75,dev78,dev81,dev84,dev87,dev90,dev93,dev96,dev99,dev102,dev105,dev108,dev111,dev114,dev117,dev120,dev123,dev126,dev129,dev132,dev135,dev138,dev141,dev144,dev147,dev150,dev153,dev156,dev159,dev162,dev165,dev168,dev171,dev174,dev177,dev180,dev183,dev186,dev189,dev192,dev195,dev198,dev201,dev204,dev207,dev210,dev213,dev216,dev219,dev222,dev225,dev228,dev231,dev234,dev237,dev240,dev243,dev246,dev249,dev252,dev255,dev258,dev261,dev264,dev267,dev270,dev273,dev276,dev279,dev282,dev285,dev288,dev291,dev294,dev297,dev300
Germany,Commercial D&O,2016,paid,0,88,385,602,1583,2387,5795,6486,7573,16582,18657,20793,33758,34134,28915,29168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2016,inc,20,233,1221,2256,4088,5854,11051,13152,15123,23958,40883,45710,45724,45979,38784,47652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2016,EP,8680,17543,26259,34932,34932,34932,34932,34932,34932,34932,34932,34932,34932,34932,34932,34932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2017,paid,0,26,158,271,744,1178,2136,2509,4463,5325,5746,5918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2017,inc,19,111,458,800,1926,2652,4600,5460,7659,9182,9826,9943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2017,EP,8827,18615,28516,38485,38485,38485,38485,38485,38485,38485,38485,38485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2018,paid,5,64,216,405,886,1279,5923,6269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2018,inc,37,554,1248,2084,2740,7391,9263,10275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2018,EP,9212,18801,28342,38090,38090,38090,38090,38090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2019,paid,4,72,95,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2019,inc,95,233,342,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Commercial D&O,2019,EP,9266,18510,27697,37341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Cyber Business,2016,paid,0,0,137,140,169,169,169,169,169,169,169,169,169,169,169,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Cyber Business,2016,inc,4,58,178,189,212,207,205,198,198,169,169,169,169,169,169,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
